Number of mail,Accuracy
155,"0,4065934065934066"
156,"0,4175824175824176"
157,"0,4175824175824176"
158,"0,4175824175824176"
159,"0,4175824175824176"
160,"0,4175824175824176"
161,"0,4175824175824176"
162,"0,4175824175824176"
163,"0,4175824175824176"
164,"0,4175824175824176"
165,"0,4175824175824176"
166,"0,4175824175824176"
167,"0,4175824175824176"
168,"0,4175824175824176"
169,"0,4175824175824176"
170,"0,4175824175824176"
171,"0,4175824175824176"
172,"0,4175824175824176"
173,"0,4175824175824176"
174,"0,4175824175824176"
175,"0,4175824175824176"
176,"0,4065934065934066"
177,"0,4175824175824176"
178,"0,4065934065934066"
179,"0,4065934065934066"
180,"0,4175824175824176"
181,"0,4175824175824176"
182,"0,4175824175824176"
183,"0,4175824175824176"
184,"0,4175824175824176"
185,"0,4175824175824176"
186,"0,4175824175824176"
187,"0,4175824175824176"
188,"0,4175824175824176"
189,"0,4175824175824176"
190,"0,4175824175824176"
191,"0,4175824175824176"
192,"0,4175824175824176"
193,"0,4175824175824176"
194,"0,4175824175824176"
195,"0,4175824175824176"
196,"0,4175824175824176"
197,"0,4175824175824176"
198,"0,4175824175824176"
199,"0,4175824175824176"
200,"0,4175824175824176"
201,"0,4175824175824176"
202,"0,4175824175824176"
203,"0,4175824175824176"
204,"0,4175824175824176"
205,"0,4175824175824176"
206,"0,4175824175824176"
207,"0,4175824175824176"
208,"0,4175824175824176"
209,"0,4175824175824176"
210,"0,4175824175824176"
211,"0,4175824175824176"
212,"0,4175824175824176"
213,"0,4175824175824176"
214,"0,4175824175824176"
215,"0,4175824175824176"
216,"0,4175824175824176"
217,"0,4175824175824176"
218,"0,4175824175824176"
219,"0,4175824175824176"
220,"0,4175824175824176"
221,"0,4175824175824176"
222,"0,4175824175824176"
223,"0,4175824175824176"
224,"0,4175824175824176"
225,"0,4175824175824176"
226,"0,4175824175824176"
227,"0,4175824175824176"
228,"0,4175824175824176"
229,"0,4175824175824176"
230,"0,4175824175824176"
231,"0,4175824175824176"
232,"0,4175824175824176"
233,"0,4175824175824176"
234,"0,4175824175824176"
235,"0,4175824175824176"
236,"0,4175824175824176"
237,"0,4175824175824176"
238,"0,4175824175824176"
239,"0,4175824175824176"
240,"0,4175824175824176"
241,"0,4175824175824176"
242,"0,4175824175824176"
243,"0,4175824175824176"
244,"0,4175824175824176"
245,"0,4175824175824176"
246,"0,4175824175824176"
247,"0,4175824175824176"
248,"0,4175824175824176"
249,"0,4175824175824176"
250,"0,4175824175824176"
251,"0,4175824175824176"
252,"0,4175824175824176"
253,"0,4175824175824176"
254,"0,4175824175824176"
255,"0,4175824175824176"
256,"0,4175824175824176"
257,"0,4175824175824176"
258,"0,4175824175824176"
259,"0,4175824175824176"
260,"0,4175824175824176"
261,"0,4175824175824176"
262,"0,4175824175824176"
263,"0,4175824175824176"
264,"0,4175824175824176"
265,"0,4175824175824176"
266,"0,4175824175824176"
267,"0,4175824175824176"
268,"0,4175824175824176"
269,"0,4175824175824176"
270,"0,42857142857142855"
271,"0,42857142857142855"
272,"0,4175824175824176"
273,"0,42857142857142855"
274,"0,42857142857142855"
275,"0,42857142857142855"
276,"0,42857142857142855"
277,"0,42857142857142855"
278,"0,4175824175824176"
279,"0,4175824175824176"
280,"0,4175824175824176"
281,"0,4175824175824176"
282,"0,4175824175824176"
283,"0,4175824175824176"
284,"0,4175824175824176"
285,"0,4175824175824176"
286,"0,4175824175824176"
287,"0,4175824175824176"
288,"0,4175824175824176"
289,"0,4175824175824176"
290,"0,4175824175824176"
291,"0,4175824175824176"
292,"0,42857142857142855"
293,"0,42857142857142855"
294,"0,42857142857142855"
295,"0,42857142857142855"
296,"0,42857142857142855"
297,"0,42857142857142855"
298,"0,42857142857142855"
299,"0,42857142857142855"
300,"0,42857142857142855"
301,"0,42857142857142855"
302,"0,42857142857142855"
303,"0,42857142857142855"
304,"0,42857142857142855"
305,"0,42857142857142855"
306,"0,42857142857142855"
307,"0,42857142857142855"
308,"0,42857142857142855"
309,"0,42857142857142855"
310,"0,42857142857142855"
311,"0,42857142857142855"
312,"0,42857142857142855"
313,"0,42857142857142855"
314,"0,42857142857142855"
315,"0,42857142857142855"
316,"0,42857142857142855"
317,"0,42857142857142855"
318,"0,42857142857142855"
319,"0,42857142857142855"
320,"0,42857142857142855"
321,"0,42857142857142855"
322,"0,42857142857142855"
323,"0,42857142857142855"
324,"0,42857142857142855"
325,"0,42857142857142855"
326,"0,42857142857142855"
327,"0,42857142857142855"
328,"0,42857142857142855"
329,"0,42857142857142855"
330,"0,42857142857142855"
331,"0,42857142857142855"
332,"0,42857142857142855"
333,"0,42857142857142855"
334,"0,42857142857142855"
335,"0,42857142857142855"
336,"0,42857142857142855"
337,"0,42857142857142855"
338,"0,42857142857142855"
339,"0,42857142857142855"
340,"0,42857142857142855"
341,"0,42857142857142855"
342,"0,42857142857142855"
343,"0,42857142857142855"
344,"0,4175824175824176"
345,"0,4175824175824176"
346,"0,4175824175824176"
347,"0,4175824175824176"
348,"0,4175824175824176"
349,"0,4175824175824176"
350,"0,42857142857142855"
351,"0,4175824175824176"
352,"0,4175824175824176"
353,"0,4175824175824176"
354,"0,42857142857142855"
355,"0,42857142857142855"
356,"0,43956043956043955"
357,"0,42857142857142855"
358,"0,42857142857142855"
359,"0,42857142857142855"
360,"0,42857142857142855"
361,"0,42857142857142855"
362,"0,42857142857142855"
363,"0,42857142857142855"
