Number of mail,Accuracy
152,"0,6043956043956044"
153,"0,5824175824175825"
154,"0,5934065934065934"
155,"0,5934065934065934"
156,"0,5824175824175825"
157,"0,5824175824175825"
158,"0,5934065934065934"
159,"0,5824175824175825"
160,"0,5714285714285714"
161,"0,5604395604395604"
162,"0,5714285714285714"
163,"0,5824175824175825"
164,"0,5824175824175825"
165,"0,5714285714285714"
166,"0,5714285714285714"
167,"0,5714285714285714"
168,"0,5714285714285714"
169,"0,5934065934065934"
170,"0,5824175824175825"
171,"0,5604395604395604"
172,"0,5934065934065934"
173,"0,6153846153846154"
174,"0,6153846153846154"
175,"0,6043956043956044"
176,"0,6263736263736264"
177,"0,5824175824175825"
178,"0,5824175824175825"
179,"0,5824175824175825"
180,"0,5824175824175825"
181,"0,6153846153846154"
182,"0,5934065934065934"
183,"0,5934065934065934"
184,"0,5934065934065934"
185,"0,5934065934065934"
186,"0,6263736263736264"
187,"0,6263736263736264"
188,"0,6153846153846154"
189,"0,5934065934065934"
190,"0,6263736263736264"
191,"0,6153846153846154"
192,"0,6043956043956044"
193,"0,6043956043956044"
194,"0,5934065934065934"
195,"0,6043956043956044"
196,"0,5384615384615384"
197,"0,5714285714285714"
198,"0,5714285714285714"
199,"0,5824175824175825"
200,"0,5934065934065934"
201,"0,5494505494505495"
202,"0,5934065934065934"
203,"0,6043956043956044"
204,"0,6153846153846154"
205,"0,6153846153846154"
206,"0,5604395604395604"
207,"0,5604395604395604"
208,"0,5824175824175825"
209,"0,5714285714285714"
210,"0,5824175824175825"
211,"0,5824175824175825"
212,"0,5934065934065934"
213,"0,5714285714285714"
214,"0,5714285714285714"
215,"0,6263736263736264"
216,"0,5934065934065934"
217,"0,5824175824175825"
218,"0,5714285714285714"
219,"0,6043956043956044"
220,"0,5714285714285714"
221,"0,5714285714285714"
222,"0,6043956043956044"
223,"0,6153846153846154"
224,"0,6153846153846154"
225,"0,6263736263736264"
226,"0,6263736263736264"
227,"0,6373626373626373"
228,"0,5824175824175825"
229,"0,5934065934065934"
230,"0,5934065934065934"
231,"0,5934065934065934"
232,"0,5824175824175825"
233,"0,6483516483516484"
234,"0,5824175824175825"
235,"0,6153846153846154"
236,"0,5714285714285714"
237,"0,5934065934065934"
238,"0,5604395604395604"
239,"0,5824175824175825"
240,"0,5494505494505495"
241,"0,6813186813186813"
242,"0,6703296703296703"
243,"0,6703296703296703"
244,"0,6483516483516484"
245,"0,6043956043956044"
246,"0,6043956043956044"
247,"0,6153846153846154"
248,"0,6373626373626373"
249,"0,6483516483516484"
250,"0,5824175824175825"
251,"0,5714285714285714"
252,"0,6263736263736264"
253,"0,6483516483516484"
254,"0,6483516483516484"
255,"0,5714285714285714"
256,"0,5604395604395604"
257,"0,5824175824175825"
258,"0,5714285714285714"
259,"0,5824175824175825"
260,"0,5824175824175825"
261,"0,5824175824175825"
262,"0,5824175824175825"
263,"0,5824175824175825"
264,"0,5824175824175825"
265,"0,6263736263736264"
266,"0,6263736263736264"
267,"0,5934065934065934"
268,"0,5824175824175825"
269,"0,6043956043956044"
270,"0,5604395604395604"
271,"0,6263736263736264"
272,"0,6263736263736264"
273,"0,6263736263736264"
274,"0,5934065934065934"
275,"0,5934065934065934"
276,"0,6483516483516484"
277,"0,6483516483516484"
278,"0,6483516483516484"
279,"0,6483516483516484"
280,"0,6373626373626373"
281,"0,6043956043956044"
282,"0,5824175824175825"
283,"0,5934065934065934"
284,"0,5934065934065934"
285,"0,5824175824175825"
286,"0,5824175824175825"
287,"0,5714285714285714"
288,"0,5604395604395604"
289,"0,5714285714285714"
290,"0,5714285714285714"
291,"0,6043956043956044"
292,"0,5714285714285714"
293,"0,5824175824175825"
294,"0,6373626373626373"
295,"0,5934065934065934"
296,"0,5934065934065934"
297,"0,5934065934065934"
298,"0,6813186813186813"
299,"0,6593406593406593"
300,"0,6593406593406593"
301,"0,6593406593406593"
302,"0,6813186813186813"
303,"0,6813186813186813"
304,"0,6703296703296703"
305,"0,6703296703296703"
306,"0,6593406593406593"
307,"0,6593406593406593"
308,"0,7362637362637363"
309,"0,6373626373626373"
310,"0,6593406593406593"
311,"0,7032967032967034"
312,"0,7032967032967034"
313,"0,6483516483516484"
314,"0,6813186813186813"
315,"0,6813186813186813"
316,"0,6813186813186813"
317,"0,6263736263736264"
318,"0,6923076923076923"
319,"0,7032967032967034"
320,"0,6813186813186813"
321,"0,6813186813186813"
322,"0,6593406593406593"
323,"0,6593406593406593"
324,"0,6593406593406593"
325,"0,6593406593406593"
326,"0,6703296703296703"
327,"0,6703296703296703"
328,"0,7252747252747253"
329,"0,6923076923076923"
330,"0,6703296703296703"
331,"0,6813186813186813"
332,"0,6373626373626373"
333,"0,6923076923076923"
334,"0,6813186813186813"
335,"0,6813186813186813"
336,"0,6153846153846154"
337,"0,6153846153846154"
338,"0,6153846153846154"
339,"0,6263736263736264"
340,"0,5934065934065934"
341,"0,5934065934065934"
342,"0,6153846153846154"
343,"0,5824175824175825"
344,"0,6703296703296703"
345,"0,6593406593406593"
346,"0,6373626373626373"
347,"0,6483516483516484"
